,st_KMeans,st_HDBSCAN,st_Agglomerative,ts_KMeans,ts_HDBSCAN,ts_Agglomerative,mm_KMeans,mm_HDBSCAN,mm_Agglomerative,lf_KMeans,lf_HDBSCAN,lf_Agglomerative
1893,7,0,2,2,25,15,5,1,5,17,-1,2
1894,15,1,0,16,-1,83,13,12,10,16,0,0
1895,15,1,0,4,11,78,13,12,10,16,-1,0
1896,8,-1,1,11,6,1,7,13,33,9,-1,1
1897,5,1,0,2,24,38,2,3,4,6,-1,0
1898,10,-1,2,6,23,17,9,1,30,3,-1,2
1899,6,0,1,19,-1,74,7,-1,37,7,-1,1
1900,6,0,1,3,5,95,7,13,15,7,1,1
1901,14,0,2,20,10,88,14,0,9,0,2,2
1902,4,1,0,3,5,95,2,3,4,13,0,0
1903,16,-1,0,6,22,47,13,12,10,19,-1,0
1904,12,1,0,6,-1,61,2,3,4,4,0,0
1905,4,1,0,13,26,10,8,5,11,4,0,0
1906,9,1,0,12,22,20,12,9,22,1,-1,0
1907,14,0,2,6,23,17,14,0,8,0,-1,2
1908,5,1,0,20,10,23,8,2,6,6,-1,0
1909,7,-1,2,13,12,21,9,1,18,17,-1,2
1910,5,1,0,17,26,58,8,2,6,6,-1,0
1911,0,-1,2,2,25,9,4,13,17,15,-1,2
1912,6,0,1,15,1,50,7,13,15,7,-1,1
1913,14,0,2,14,15,79,14,0,8,0,2,2
1914,13,0,1,11,9,2,11,11,2,2,0,1
1915,11,-1,1,5,13,14,0,7,13,18,-1,1
1916,2,0,2,14,15,79,9,1,18,11,2,2
1917,3,0,1,15,1,50,10,2,0,5,-1,1
1918,14,0,2,17,-1,0,10,2,0,0,-1,2
1919,11,-1,1,6,23,17,4,-1,24,15,-1,1
1920,3,0,1,1,2,4,1,4,27,5,0,1
1921,1,1,0,0,16,84,2,3,4,14,-1,0
1922,6,0,1,1,-1,40,7,13,33,7,-1,1
1923,7,-1,2,2,25,27,5,1,5,17,-1,2
1924,2,0,2,14,15,79,9,1,36,11,2,2
1925,9,1,0,2,24,38,12,9,22,10,-1,0
1926,7,0,2,19,-1,74,9,1,16,17,-1,2
1927,14,0,2,4,11,31,14,0,9,0,2,2
1928,14,0,2,0,16,84,14,0,8,0,2,2
1929,2,0,2,15,0,39,5,1,28,11,-1,2
1930,4,1,0,20,10,23,8,2,6,13,0,0
1931,4,1,0,12,-1,15,8,5,11,4,-1,0
1932,7,0,2,12,23,11,3,8,19,17,-1,2
1933,3,0,1,16,-1,54,1,4,20,5,0,1
